KEY,English,,,,,,,,
amwCoordinates,Coordinates:,,,,,,,,
amwMarkerIcon,Marker Icon:,,,,,,,,
amwMarkerName,Marker Name:,,,,,,,,
amwRemoveonApproach,Remove on Approach,,,,,,,,
amwShowonHud,Show on HUD,,,,,,,,
amwTitleAdd,ADD MAP MARKER,,,,,,,,
amwWaypoint,Waypoint,,,,,,,,
lkwArmorName,Name:,,,,,,,,
lkwArmorSlot,Armor,,,,,,,,
lkwArmorStats,ARMOR STATS,,,,,,,,
lkwBoosterSlot,Boosters,,,,,,,,
lkwColdResistance,Cold Resistance:,,,,,,,,
lkwComfortZone,Comfort Zone (Temp.):,,,,,,,,
lkwDurability,Durability:,,,,,,,,
lkwHeatResistance,Heat Resistance:,,,,,,,,
lkwLocker,ARMOR LOCKER,,,,,,,,
lkwRadiationLimit,Radiation Protection:,,,,,,,,
lkwRadResistance,Radiation Resistance:,,,,,,,,
lkwRepairs,Number of Repairs:,,,,,,,,
lkwStoredArmor,Locker,,,,,,,,
bmAlienForest,Alien Forest,,,,,,,,
bmAlienSavanna,Alien Savanna,,,,,,,,
bmArcticForest,Artic Forest,,,,,,,,
bmArcticHighForest,Artic High Forest,,,,,,,,
bmArcticHighPlains,High Plains,,,,,,,,
bmArcticIntermediatePlains,Intermediate Plains,,,,,,,,
bmArcticLowPlains,Hot Springs,,,,,,,,
bmBarrenFog,Mist,,,,,,,,
bmBarrenOpenPlains,Open Plains,,,,,,,,
bmBarrenRocks,Barren Rocks,,,,,,,,
bmDesertHighPlains,High Plains,,,,,,,,
bmDesertLargeRocks,Large Rocks,,,,,,,,
bmDesertLowMountains,Low Mountains,,,,,,,,
bmDesertLowPlains,Low Plains,,,,,,,,
bmDesertSmallLake,Lake,,,,,,,,
bmDesertSolitude,Desert Solitude,,,,,,,,
bmIslands,Islands,,,,,,,,
bmLava,Lava,,,,,,,,
bmLavaFog,Lava Fog,,,,,,,,
bmLavaPlains,Lava Plains,,,,,,,,
bmMountains,Mountains,,,,,,,,
bmOcean,Ocean,,,,,,,,
bmOpenPlains,Open Plains,,,,,,,,
bmSmallLake,Lake,,,,,,,,
bmSwamp,Swamp,,,,,,,,
bmTropicalForest,Tropical Forest,,,,,,,,
bmTropicalIsland,Tropical Island,,,,,,,,
bmWater,Lake,,,,,,,,
AlienBlocks,Alien Building Blocks,,,,,,,,
AlienFull,Alien Block,,,,,,,,
AlienInteriorGreen01,Alien Block (Green),,,,,,,,
AlienInteriorGreen02,Alien Block 2 (Green),,,,,,,,
AlienInteriorGreenWedge01,Alien Slope (Green),,,,,,,,
AlienThin,Alien Block,,,,,,,,
Artificialmass,Artificial Mass,,,,,,,,
ArtMassBlocks,Artificial Mass Blocks,,,,,,,,
ArtMassCVBlocks,Artificial Mass Blocks,,,,,,,,
ArtMassHeavy,Artificial Mass (Heavy),,,,,,,,
ArtMassHeavyCV,Artificial Mass (Heavy),,,,,,,,
ArtMassLight,Artificial Mass (Light),,,,,,,,
ArtMassLightCV,Artificial Mass (Light),,,,,,,,
ArtMassMedium,Artificial Mass (Medium),,,,,,,,
ArtMassMediumCV,Artificial Mass (Medium),,,,,,,,
ConcreteBlocks,Concrete Blocks,,,,,,,,
ConcreteDestroyedBlocks,Concrete Blocks - Destroyed,,,,,,,,
ConcreteFull,Concrete Block,,,,,,,,
ConcreteFullDestroyed,Concrete Block - Destroyed,,,,,,,,
ConcreteThin,Concrete Block,,,,,,,,
ConcreteThinBlocks,Concrete Blocks (thin),,,,,,,,
ConcreteThinDestroyed,Concrete Blocks (thin) - Destroyed,,,,,,,,
GrowingPot,Growing Plot (Steel),,,,,,,,
GrowingPotConcrete,Growing Plot (Concrete),,,,,,,,
GrowingPotWood,Growing Plot (Wood),,,,,,,,
HullArmoredFull,Hardened Steel Block,,,,,,,,
HullArmoredFullLarge,Hardened Steel Block L,,,,,,,,
HullArmoredFullSmall,Hardened Steel Block S,,,,,,,,
HullArmoredLargeBlocks,Hardened Steel Blocks L,,,,,,,,
HullArmoredSmallBlocks,Hardened Steel Blocks S,,,,,,,,
HullArmoredThin,Hardened Steel Block,,,,,,,,
HullArmoredThinLarge,Hardened Steel Block L,,,,,,,,
HullArmoredThinLargeBlocks,Hardened Steel Blocks L (thin),,,,,,,,
HullArmoredThinSmall,Hardened Steel Block S,,,,,,,,
HullArmoredThinSmallBlocks,Hardened Steel Blocks S (thin),,,,,,,,
HullCombatFullLarge,Combat Steel Block L,,,,,,,,
HullCombatLargeBlocks,Combat Steel Blocks L,,,,,,,,
HullCombatThinLarge,Combat Steel Block L,,,,,,,,
HullCombatThinLargeBlocks,Combat Steel Blocks L (thin),,,,,,,,
HullDestroyed,Steel Blocks - Destroyed,,,,,,,,
HullFull,Steel Block,,,,,,,,
HullFullLarge,Steel Block L,,,,,,,,
HullFullLargeDestroyed,Steel Block L - Destroyed,,,,,,,,
HullFullSmall,Steel Block S,,,,,,,,
HullFullSmallDestroyed,Steel Block S - Destroyed,,,,,,,,
HullLargeBlocks,Steel Blocks L,,,,,,,,
HullLargeDestroyedBlocks,Steel Blocks L - Destroyed,,,,,,,,
HullSmallBlocks,Steel Blocks S,,,,,,,,
HullSmallDestroyedBlocks,Steel Blocks S - Destroyed,,,,,,,,
HullThin,Steel Block,,,,,,,,
HullThinLarge,Steel Block L,,,,,,,,
HullThinLargeBlocks,Steel Blocks L (thin),,,,,,,,
HullThinLargeDestroyed,Steel Blocks L (thin) - Destroyed,,,,,,,,
HullThinSmall,Steel Block S,,,,,,,,
HullThinSmallBlocks,Steel Blocks S (thin),,,,,,,,
HullThinSmallDestroyed,Steel Blocks S (thin) - Destroyed,,,,,,,,
RailingDiagonal,Railing Diagonal,,,,,,,,
RailingDiagonalGlass,Glass Railing Diagonal,,,,,,,,
RailingDiagonalGlassInv,Glass Railing Diagonal,,,,,,,,
RailingL,Railing L-Shape,,,,,,,,
RailingLGlass,Glass Railing L-Shape,,,,,,,,
RailingLGlassInv,Glass Railing L-Shape,,,,,,,,
RailingRound,Railing Round,,,,,,,,
RailingRoundGlass,Glass Railing Round,,,,,,,,
RailingRoundGlassInv,Glass Railing Round,,,,,,,,
RailingSlopeGlassLeft,Glass Railing Slope (left),,,,,,,,
RailingSlopeGlassLeftInv,Glass Railing Slope (left),,,,,,,,
RailingSlopeGlassRight,Glass Railing Slope (right),,,,,,,,
RailingSlopeGlassRightInv,Glass Railing Slope (right),,,,,,,,
RailingSlopeLeft,Railing Slope (left),,,,,,,,
RailingSlopeRight,Railing Slope (right),,,,,,,,
RailingVert,Railing,,,,,,,,
RailingVertGlass,Glass Railing,,,,,,,,
RailingVertGlassInv,Glass Railing,,,,,,,,
RampSteep,Ramp Steep,,,,,,,,
Stairs1x1x1,Stairs Wedge (texturable),,,,,,,,
StairsMS,Stairs Freestanding,,,,,,,,
StairsWedge,Stairs Wedge,,,,,,,,
StairsWedgeLong,Stairs Wedge Long,,,,,,,,
TrussCorner,Corner,,,,,,,,
TrussCornerRoundThin,Round Slope Thin,,,,,,,,
TrussCornerRoundThin2,Corner Round Thin 2,,,,,,,,
TrussCornerThin,Thin Corner,,,,,,,,
TrussCube,Cube,,,,,,,,
TrussCurveOutSlope,Curved Corner,,,,,,,,
TrussCylinder,Cylinder,,,,,,,,
TrussHalfRound,Round Corner,,,,,,,,
TrussLargeBlocks,Truss Blocks L,,,,,,,,
TrussQuarterRound,Round Slope,,,,,,,,
TrussQuarterRoundInv,Inward Round Slope,,,,,,,,
TrussQuarterRoundThin,Round Slope Thin,,,,,,,,
TrussSmallBlocks,Truss Blocks S,,,,,,,,
TrussWall,Wall,,,,,,,,
TrussWedge,Slope,,,,,,,,
TrussWedgeThin,Thin Slope,,,,,,,,
WalkwayBlocks,Walkway & Railings,,,,,,,,
WalkwaySlope,Walkway Slope,,,,,,,,
WalkwaySlopeNew,Walkway Slope 2,,,,,,,,
WalkwayVert02,Walkway 2,,,,,,,,
WalkwayVertNew,Walkway,,,,,,,,
Window_3side1x1,Vertical Corner,,,,,,,,
Window_3side1x1Inv,Vertical Corner,,,,,,,,
Window_3side1x1Thick,Vertical Corner,,,,,,,,
Window_3side1x1ThickInv,Vertical Corner,,,,,,,,
Window_c1x1,Corner 1x1,,,,,,,,
Window_c1x1Inv,Corner 1x1,,,,,,,,
Window_c1x1Thick,Corner 1x1,,,,,,,,
Window_c1x1ThickInv,Corner 1x1,,,,,,,,
Window_c1x2,Corner 1x2,,,,,,,,
Window_c1x2Inv,Corner 1x2,,,,,,,,
Window_c1x2Thick,Corner 1x2,,,,,,,,
Window_c1x2ThickInv,Corner 1x2,,,,,,,,
Window_cc1x1,Corner Thin,,,,,,,,
Window_cc1x1Inv,Corner Thin,,,,,,,,
Window_cc1x1Thick,Corner Thin,,,,,,,,
Window_cc1x1ThickInv,Corner Thin,,,,,,,,
Window_cr1x1,Round Vertical,,,,,,,,
Window_cr1x1Inv,Round Vertical,,,,,,,,
Window_cr1x1Thick,Round Vertical,,,,,,,,
Window_cr1x1ThickInv,Round Vertical,,,,,,,,
Window_crc1x1,Round Corner,,,,,,,,
Window_crc1x1Inv,Round Corner,,,,,,,,
Window_crc1x1Thick,Round Corner,,,,,,,,
Window_crc1x1ThickInv,Round Corner,,,,,,,,
Window_crctw1x1,Round Corner Thin,,,,,,,,
Window_crctw1x1Inv,Round Corner Thin,,,,,,,,
Window_crctw1x1Thick,Round Corner Thin,,,,,,,,
Window_crctw1x1ThickInv,Round Corner Thin,,,,,,,,
Window_creA1x1,Connector A,,,,,,,,
Window_creA1x1Inv,Connector A,,,,,,,,
Window_creA1x1Thick,Connector A,,,,,,,,
Window_creA1x1ThickInv,Connector A,,,,,,,,
Window_creB1x1,Connector B,,,,,,,,
Window_creB1x1Inv,Connector B,,,,,,,,
Window_creB1x1Thick,Connector B,,,,,,,,
Window_creB1x1ThickInv,Connector B,,,,,,,,
Window_crl1x1,Round Corner Long,,,,,,,,
Window_crl1x1Inv,Round Corner Long,,,,,,,,
Window_crl1x1Thick,Round Corner Long,,,,,,,,
Window_crl1x1ThickInv,Round Corner Long,,,,,,,,
Window_crsd1x1,Round Side,,,,,,,,
Window_crsd1x1Inv,Round Side,,,,,,,,
Window_crsd1x1Thick,Round Side,,,,,,,,
Window_crsd1x1ThickInv,Round Side,,,,,,,,
Window_crse1x1,Round Corner Edge,,,,,,,,
Window_crse1x1Inv,Round Corner Edge,,,,,,,,
Window_crse1x1Thick,Round Corner Edge,,,,,,,,
Window_crse1x1ThickInv,Round Corner Edge,,,,,,,,
Window_L1x1,Vertical L-Shape,,,,,,,,
Window_L1x1Inv,Vertical L-Shape,,,,,,,,
Window_L1x1Thick,Vertical L-Shape,,,,,,,,
Window_L1x1ThickInv,Vertical L-Shape,,,,,,,,
Window_s1x1,Slope 1x1,,,,,,,,
Window_s1x1Inv,Slope 1x1,,,,,,,,
Window_s1x1Thick,Slope 1x1,,,,,,,,
Window_s1x1ThickInv,Slope 1x1,,,,,,,,
Window_s1x2,Slope 1x2,,,,,,,,
Window_s1x2Inv,Slope 1x2,,,,,,,,
Window_s1x2Thick,Slope 1x2,,,,,,,,
Window_s1x2ThickInv,Slope 1x2,,,,,,,,
Window_sd1x1,Side 1x1,,,,,,,,
Window_sd1x1Inv,Side 1x1,,,,,,,,
Window_sd1x1Thick,Side 1x1,,,,,,,,
Window_sd1x1ThickInv,Side 1x1,,,,,,,,
Window_sd1x2,Side 1x2,,,,,,,,
Window_sd1x2Inv,Side 1x2,,,,,,,,
Window_sd1x2Thick,Side 1x2,,,,,,,,
Window_sd1x2ThickInv,Side 1x2,,,,,,,,
Window_sd1x2V2,Side 2 1x2,,,,,,,,
Window_sd1x2V2Inv,Side 2 1x2,,,,,,,,
Window_sd1x2V2Thick,Side 2 1x2,,,,,,,,
Window_sd1x2V2ThickInv,Side 2 1x2,,,,,,,,
Window_v1x1,Vertical 1x1,,,,,,,,
Window_v1x1Inv,Vertical 1x1,,,,,,,,
Window_v1x1Thick,Vertical 1x1,,,,,,,,
Window_v1x1ThickInv,Vertical 1x1,,,,,,,,
Window_v1x2,Vertical 1x2,,,,,,,,
Window_v1x2Inv,Vertical 1x2,,,,,,,,
Window_v1x2Thick,Vertical 1x2,,,,,,,,
Window_v1x2ThickInv,Vertical 1x2,,,,,,,,
Window_v2x2,Vertical 2x2,,,,,,,,
Window_v2x2Inv,Vertical 2x2,,,,,,,,
Window_v2x2Thick,Vertical 2x2,,,,,,,,
Window_v2x2ThickInv,Vertical 2x2,,,,,,,,
WindowArmoredLargeBlocks,Armored Windows L,,,,,,,,
WindowArmoredSmallBlocks,Armored Windows S,,,,,,,,
WindowLargeBlocks,Windows L,,,,,,,,
WindowShutterLargeBlocks,Shutter Windows L,,,,,,,,
WindowShutterSmallBlocks,Shutter Windows S,,,,,,,,
WindowSloped2MS,Slope Inv (non-transparent),,,,,,,,
WindowSloped2ShutterArmored,Slope Inv (non-transparent),,,,,,,,
WindowSlopedBase,Slope (transparent),,,,,,,,
WindowSlopedMS,Slope (non-transparent),,,,,,,,
WindowSlopedShutterArmored,Slope (non-transparent),,,,,,,,
WindowSlopedShutterTransArmored,Slope (transparent),,,,,,,,
WindowSmallBlocks,Windows S,,,,,,,,
WindowVertBase,Vertical (transparent),,,,,,,,
WindowVertMS,Vertical (non-transparent),,,,,,,,
WindowVertShutterArmored,Vertical (non-transparent),,,,,,,,
WindowVertShutterTransArmored,Vertical (transparent),,,,,,,,
Wing12x9a,Wing A (12x9),,,,,,,,
Wing12x9b,Wing B (12x9),,,,,,,,
Wing12x9c,Wing C (12x9),,,,,,,,
Wing12x9d,Wing D (12x9),,,,,,,,
Wing12x9e,Wing E (12x9),,,,,,,,
Wing6x5a,Wing A (6x5),,,,,,,,
Wing6x5b,Wing B (6x5),,,,,,,,
Wing6x5c,Wing C (6x5),,,,,,,,
Wing6x5d,Wing D (6x5),,,,,,,,
Wing6x5e,Wing E (6x5),,,,,,,,
Wing6x9a,Wing A (6x9),,,,,,,,
Wing6x9b,Wing B (6x9),,,,,,,,
Wing6x9c,Wing C (6x9),,,,,,,,
Wing6x9d,Wing D (6x9),,,,,,,,
Wing6x9e,Wing E (6x9),,,,,,,,
Wing9x6a,Wing A (9x6),,,,,,,,
Wing9x6b,Wing B (9x6),,,,,,,,
Wing9x6c,Wing C (9x6),,,,,,,,
Wing9x6d,Wing D (9x6),,,,,,,,
Wing9x6e,Wing E (9x6),,,,,,,,
WingBlocks,Wings,,,,,,,,
WoodBlocks,Wood Blocks,,,,,,,,
WoodFull,Wood Block,,,,,,,,
WoodThin,Wood Block,,,,,,,,
WoodThinBlocks,Wood Blocks (thin),,,,,,,,
AkuaFernDeco,Fern,,,,,,,,
AlienPalmTreeDeco,Fire Palm Tree,,,,,,,,
AlienTentacleDeco,Tentacle Tree,,,,,,,,
Antenna,Antenna 06 (Deco),,,,,,,,
Antenna01,Antenna 01 (Deco),,,,,,,,
Antenna02,Antenna 02 (Deco),,,,,,,,
Antenna03,Antenna 03 (Deco),,,,,,,,
Antenna04,Antenna 04 (Deco),,,,,,,,
Antenna05,Antenna 05 (Deco),,,,,,,,
AntennaBlocks,Antennas (Deco),,,,,,,,
ArmorPlate,Armor Plate,,,,,,,,
BallFlower01Deco,Ball Flower,,,,,,,,
